#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTNAME1700000202;The Sword in the Stone;L'épée dans le Rocher;;;;;;;;;;;;x;
EVTDESC1700000202;You decide to take a stroll in the countryside to relieve some stress. Whilst walking you come upon a large stone in a clearing. What makes this stone unusual is the large sword buried in it, with only the bejewelled hilt visible.;Vous décidez de vous promener dans la campagne pour évacuer le stress. Alors que vous marchez, vous voyez une énorme pierre dans une clairière. Ce qui est inhabituel à propos de cette pierre est l'épée large encastrée dedans, seule le joyau du pommeau étant visible.;;;;;;;;;;;;x;
EVTOPTA1700000202;I feel drawn to the power of this artifact.;Je me sens attiré par le pouvoir de cette relique.;;;;;;;;;;;;x;
EVTOPTB1700000202;What is this? Someone's idea of a practical joke?;Qu'est-ce donc ? Quelqu'un veut me faire une plaisanterie ?;;;;;;;;;;;;x;
EVTOPTC1700000202;Look at the size of those gemstones!;Regardez la taille de ces pierres précieuses !;;;;;;;;;;;;x;
EVTOPTD1700000202;A sword in a stone? That's it, I'm out of here.;In épée dans un rocher ? Ok, je m'en vais.;;;;;;;;;;;;x;
EVTNAME1700000203;You Approach the Stone;Vous approchez de la pierre.;;;;;;;;;;;;x;
EVTDESC1700000203;As you draw near, you feel the power of the stone fill you. You feel you could do anything.;Alors que vous vous approchez, vous ressetez le pouvoir de la pierre vous emplir. Vous ressentez une puissance sans limite.;;;;;;;;;;;;x;
EVTOPTA1700000203;I shall claim it for my own!;Je devrais la revendiquer comme mienne !;;;;;;;;;;;;x;
EVTOPTB1700000203;I will examine the weapon first.;Je vais examiner l'arme en premier.;;;;;;;;;;;;x;
EVTNAME1700000204;A Chance for Some Fun;L'occasion de samuser;;;;;;;;;;;;x;
EVTDESC1700000204;If this is a joke, maybe we can use it to our benefit.;Si c'est une plaisanterie, peut-être pouvons nous la tourner à notre avantage.;;;;;;;;;;;;x;
EVTOPTA1700000204;I will embarrass my vassal.;Je vais embarrasser mon vassal.;;;;;;;;;;;;x;
EVTOPTB1700000204;I will embarrass my courtier.;Je vais embarrasser mon courtisan.;;;;;;;;;;;;x;
EVTOPTC1700000204;I will embarrass my spouse.;Je vais embarrasser mon épouse.;;;;;;;;;;;;x;
EVTOPTD1700000204;A joke like this would be mean. I'll just go home.;Une telle plaisanterie serait méchante, je vais juste rentrer chez moi.;;;;;;;;;;;;x;
EVTNAME1700000205;You Approach the Stone;Vous approchez de la pierre.;;;;;;;;;;;;x;
EVTDESC1700000205;As you draw near, you see the many jewels sparkle in the sunlight. Each is most likely worth a small fortune.;Alors que vous êtes proches, vous voyez les multiples joyaux briller dans la lumière du soleil. Chacun d'eux vaux sans aucun doute une petite fortune.;;;;;;;;;;;;x;
EVTOPTA1700000205;I bet I can get these jewels and make a fortune.;Je parie que je peux prendre ces joyaux et me devenir riche !;;;;;;;;;;;;x;
EVTOPTB1700000211;I will examine the weapon first.;Je vais examiner l'arme en premier.;;;;;;;;;;;;x;
EVTNAME1700000206;You Place Your Hands on the Sword;Vous placez vos mains sur l'épée.;;;;;;;;;;;;x;
EVTDESC1700000206;You stand next to the stone and place both hands on the sword. In a moment you will try to remove it from its prison.;Vous vous tenez près de la pierre et placez les deux mains sur le pommeau de l'épée. Vous vous apprêtez à la retirer de sa prison de pierre.;;;;;;;;;;;;x;
EVTOPTA1700000206;This will be easy...;Cela devrais être facile…;;;;;;;;;;;;x;
EVTTOOLTIP1700000212;;;;;;;;;;;;;;x;
EVTTOOLTIP1700000213;;;;;;;;;;;;;;x;
EVTOPTB1700000206;This will be difficult...;Cela va être difficile…;;;;;;;;;;;;x;
EVTTOOLTIP1700000212;TEXTNAME;;;;;;;;;;;;;x;
EVTTOOLTIP1700000213;TEXTNAME;;;;;;;;;;;;;x;
EVTOPTC1700000206;This will be impossible...;C'est impossible !;;;;;;;;;;;;x;
EVTTOOLTIP1700000213;TEXTNAME;;;;;;;;;;;;;x;
EVTTOOLTIP1700000212;TEXTNAME;;;;;;;;;;;;;x;
EVTNAME1700000207;You Take a Closer Look at the Sword;Vous regardez l'épée plus attentivement.;;;;;;;;;;;;x;
EVTDESC1700000207;You approach the sword and take a closer look at the markings on it. Your head swims and your vision blurs as you try to understand the meaning of the runes.;Vous vous approchez de l'épée et discernez ses marques. Votre tête tourne et votre vision se brouille alors que vous essayez de comprendre le sens de ces runes.;;;;;;;;;;;;x;
# namespace = temptation;;;;;;;;;;;;;;;
temptation.1;The Embrace of Uncle Nurgle;Le baiser d'Oncle Nurlge;;;;;;;;;;;;x;
temptation.1_desc;The Plague Father, Fly Lord, Great Corruptor, the Master of Pestilence... Old Uncle Nurgle has many titles. Within your very mind and soul you hear the maddened buzzing of a billion flies, and a chorus of choking, coughing voices whispering in your ears. They are calling you to join them in the endless bliss of utter pestilence and decay, to cast aside the facade of health and embrace the utter rottenness that is the inevitable fate of all life.;Le père de la peste, le seigneur des mouches, grand corrupteur et maître de la pestilence… Le vieil oncle Nurgle possède beaucoup de titres. Au sein de votre propre esprit et de votre propre âme vous entendez  le bourdonnement de millions de mouches, et un choeur de voix toussante murmurer dans votre oreille. Ils vous appelent pour les rejoindre dans l'éternelle pestilence afin de repousser l'illusion de la santé et d'embrasser le pourrissement éternel, destin de toute vie.;;;;;;;;;;;;x;
Temptation.1.TOOLTIP1;Uncle Nurgle loves his childern, he he he...;Oncle Nurgle aime ses enfants, hin hin hin…;;;;;;;;;;;;x;
Temptation.1.TOOLTIP2;[Root.Religion.GetRandomGodName] will give me the strength to resist this sickness in my heart!;[Root.Religion.GetRandomGodName] me donnera la force de résister à cette maladie du cœur!;;;;;;;;;;;;x;
temptation.2;The Seductions of the Prince of Pleasure;La séduction du Prince de la Luxure;;;;;;;;;;;;x;
temptation.2_desc;"Truth, beauty,, honour, justice... what do any of these things mean without pleasure? Are not the senses of Man his guide into the divine? Poetry, music, dance, wine, none of it is enough for one of your intellect and needs. Your body and mind yearn for stimulation, to seek out new experiences. You tire of the restraints of so-called ""civilised society,"" and wonder if it might be better to seek out likeminded spirits and experiment with a new lifestyle beyond mere mortal hedonism? Your inquiring mind and almost uncontrollable lust for life leads you to the Forbidden Lord of Excess, Slaanesh, who can offer you all you desire in return for so little?";;;;;;;;;;;;;x ;
temptation.2.TOOLTIP1;Ah, what sweet ecstasy is this? I must have more!;;;;;;;;;;;;;x;
temptation.2.TOOLTIP2;No, no, I have gone too far... [Root.Religion.GetRandomGodName] forgive me.;;;;;;;;;;;;;x;
temptation.3;The Changer of Ways Calls Ye;;;;;;;;;;;;;x;
temptation.3_desc;The ignorant masses cling to their Gods and laws, unaware of their own utter insignificance in the grand scheme of things. Civilisations and races rise and fall, the only constant is change - all else is illusion. One of your genius knows that the only way to survive and achieve greatness on this mortal coil is to understand the vast immaterial power of magic, and to use any means necessary to acquire that knowledge. You know that the parlour tricks of the common wizard are merely a pale reflection of the incredible powers that close-minded religious dogma denies to you. In order to better understand the Winds of Magic, and to further your own career, you've considered entering a purely temporary relationship with the demonic called Tzeentch in order to use him for your own ends.;;;;;;;;;;;;;;x  
temptation.3.TOOLTIP1;Knowlegde is power.;;;;;;;;;;;;;x;
temptation.3.TOOLTIP2;Some secrets must be forever hidden.;;;;;;;;;;;;;x;
temptation.4;The Eight-Fold Path;;;;;;;;;;;;;x;
temptation.4_desc;Weakness, all you see around you is weakness and corruption. Peace breeds excess, only war is pure. Every day you spend you long for the clash of arms, the splatter of fresh blood on your face, to see your enemies homesteads in flames and their warriors in flight. Better that than to forever be surrounded by whining, ungrateful vassals and forced to listen to the false advice of effete scholars and sorcerers. Kill them, kill them all! Khrone, Master of the Skull Throne, calls you to his service. It matters not from whence the blood flows, only that it does.;;;;;;;;;;;;;x;
temptation.4.TOOLTIP1;BLOOD FOR THE BLOOD GOD, SKULLS FOR THE SKULL THRONE!!!;;;;;;;;;;;;;x;
temptation.4.TOOLTIP2;What am I thinking?! I'm a warrior, not a butcher!;Mais à quoi je pense ? Je suis un guerrier, pas un boucher !;;;;;;;;;;;;x;
temptation.5;The Power of Chaos;Le Pouvoir du Chaos;;;;;;;;;;;;x;
